"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANT";"SERIES";"SF_ID";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VOLTAGE_RATING";
"C1";"22uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"10uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100pF";"100PF-0603-50V-5%";"0603";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07883";"";"";"";"";"";"";"100pF";"";
"C4";"22uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08913";"";"";"";"";"";"";"47pF";"";
"C6";"22uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"560uF";"560UF-PANASONIC_G-25V-20%";"PANASONIC_G";"560µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-09983";"";"";"";"";"";"";"560uF";"";
"C8";"22uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"100uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"100uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"100nF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"10uF";"C_TANTALUM-1206(3216-METRIC)";"CAPM3216X180";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CN1";"";"JST_2PIN-THM";"JST-PH-2-THM";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CN2";"";"JST_2PIN-THM";"JST-PH-2-THM";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CN3";"";"JST_2PIN-THM";"JST-PH-2-THM";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CN4";"";"JST_2PIN-THM";"JST-PH-2-THM";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CN5";"";"JST_2PIN-THM";"JST-PH-2-THM";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
